Tool Name,ZKP Class,Tool Input,Pipeline stages with grammar,Primary Analysis Approach,Targeted Vulnerabilities,Security Guarantees,Actively Maintained,Last Major Update,License,Tool References,Developers,Developers Ref,Usability,Kinds of Output,Academic References (if any),Brief Description
"Picus (Circom) – formerly, Picus",ZK-SNARKs,"R1CS
Circom
gnark",(1)=[2]=(3)-(4)=(5)=(6),"SMT/constraint solving, static analysis",under-constrained circuits,"determinism - always same output, soundness (of analysis)",No,Mar 2024,MIT,"https://github.com/Veridise/Picus
https://doi.org/10.5281/zenodo.7776035","Academia
Veridise
0xPARC Foundation
ZKonduit
Harvard University
Complutense University of Madrid","https://veridise.com/
https://0xparc.org/
https://github.com/zkonduit",2,"Provide counterexamples
Textual and/or JSON output","https://doi.org/10.1145/3591282

\cite{pailoor_automated_2023}","Picus is a Racket implementation of the QED^2 tool proposed in \cite{pailoor_automated_2023} and allows for checking the uniqueness property (that is, under-constrained signals) of \gls{zkp} circuits. Picus combines \gls{smt} solving (currently supported \gls{smt} solvers are cvc4, cvc5, and z3) with static analysis based on lightweight \gls{ucp} and currently supports three target files: \gls{r1cs} --- as \gls{ir} --- and Circom and gnark. Given a circuit, Picus returns one among three potential outputs: unknown (when Picus could not get a result within the given time limit), and safe or unsafe (when Picus found or did not find underconstrained bugs, respectively). If a circuit is unsafe, Picus also returns a counterexample showing that the circuit is underconstrained. Notably, Picus comes with a pre-built docker image as well as a complete documentation. Picus does not seem to be maintained anymore, as Veridise now offers a new version of Picus (Picus v2) within its AuditHub platform."
"Picus – formerly, Picus v2",ZK-SNARKs,PCL,[1]-[2]=(3)=(4)=(5)=(6),"SMT/constraint solving, static analysis",under-constrained circuits,,Yes,🤷,closed-source,"https://veridise.com/security/tools/zk-tool/
https://docs.veridise.com/picus-v2
https://www.youtube.com/watch?v=KH8DzQX0g4o&t=1s",Veridise,https://veridise.com/,0,"Provides counterexamples
Textual output",none,"Picus v2\footnote{Picus Overview | AuditHub Documentation (\url{https://docs.veridise.com/picus-v2})} is the closed-source evolution of Picus, available only through AuditHub,\footnote{Home | AuditHub Documentation (\url{https://docs.veridise.com/})} Veridise's commercial SaaS (software-as-a-service) platform available to customers which hired Veridise for a security audit. Similarly to Picus, Picus v2 allows for checking the determinism of circuits by identifying underconstrained bugs using the same approach based on both static analysis and \gls{smt} solving. However, differently from Picus, Picus v2 operates over its own circuit constraint language (the Picus Constraint Language) and verifies circuits written in that language only (and contained in files with the "".picus"" extension)."
Circomspect,ZK-SNARKs,Circom,(1)=[2]=(3)=(4)=(5)=(6),static analysis,"under-constrained circuits, input validation errors, under- and overflows",determinism - always same output,Stale,Jun 2024,GPLv3,"https://github.com/trailofbits/circomspect
https://blog.trailofbits.com/2022/09/15/it-pays-to-be-circomspect/
https://blog.trailofbits.com/2023/03/21/circomspect-static-analyzer-circom-more-passes/",Trail of Bits,https://www.trailofbits.com/,1,"Warnings
Potential vulnerabilities
Textual and/or Sarif output",none,"Circomspect is a static analyzer and linter for Circom circuits written in Rust.\footnote{It pays to be Circomspect - The Trail of Bits Blog (\url{https://blog.trailofbits.com/2022/09/15/it-pays-to-be-circomspect/})} In detail, Circomspect is based on the Circom compiler and uses the same parser as the compiler does. Circomspect is mainly based on data flow analyses and syntactic patterns matching, which are used to identify a variety of potential security vulnerabilities and common issues. In fact, Circomspect implements a number of analysis passes and targets underconstrained bugs (i.e., signal assignment, under-constrained signal, unused output signal, unconstrained less-than), over and underflow errors (i.e., non-strict binary conversion, bitwise complement, field element arithmetic, field element comparison), input validation errors (i.e., Unconstrained division), as well as concerns common to generic software (i.e., unused variables, branches with constant values, variables shadowing, and suggestions to overly complex split circuits). On the other hand, Circomspect's rich analysis has neither soundness nor completeness guarantees. In fact, all issues flagged by Circomspect do not represent vulnerabilities, but rather locations that should be reviewed to make sure that the circuit behaves as expected. Circomspect can be executed via command line in a terminal and currently supports only Circom files as target. Given a circuit, Circomspect outputs debug information, warnings, and errors to the terminal stdout. Circomspect does not have an UI, but its output can be written also into a Sarif file which can be visualized by the VSCode Sarif Viewer. Circomspect has a complete documentation, but its development appears to have stalled in 2024."
Pilspector,ZK-STARKs,Pilcom,[1]-[2]=(3)=(4)=(5)=(6),"symbolic execution, SMT/constraint solving",under-constrained circuits,determinism - always same output,Stale,Jan 2023,unspecified,https://github.com/Schaeff/pilspector,"Schaeff
chriseth","https://github.com/Schaeff
https://github.com/chriseth",1,"State machine determinisms
Textual output",none,"Pilspector is a security analysis tool based on \gls{smt} solving (using z3 as \gls{smt} solver) and written in Rust. In detail, Pilspector is based on the pilcom compiler\footnote{0xPolygon/pilcom: Polynomials Identity Language (\url{https://github.com/0xPolygon/pilcom})} and targets state machines written in \gls{pil}, a \gls{dsl} for developing and verifying programs within the \gls{zkEVM}.\footnote{Index - Polygon Knowledge Layer (\url{https://docs.polygon.technology/zkEVM/spec/pil/})} Pilspector mainly looks for signs of under-constrained circuits in \gls{pil} descriptions. Pilspector can be executed via command line in a terminal and currently supports only .pil and .pil.json files as target. Albeit providing test cases, Pilspector has neither a documentation nor a UI, and and its development appears to have stopped."
ZKAP,ZK-SNARKs,Circom,(1)=[2]=(3)=(4)=(5)=(6),static analysis,"under-constrained circuits, input validation errors, incorrect logic/semantics",determinism - always same output,Stale,Oct 2023,MIT,https://github.com/whbjzzwjxq/ZKAP,"UCSB
UT Austin
Veridise
Ethereum Foundation","https://veridise.com/
https://ethereum.foundation/",1,Unspecified,"https://www.usenix.org/conference/usenixsecurity24/presentation/wen

\cite{wen_practical_2024}","ZKAP is a set of 9 static analyzers for detecting bugs in Circom circuits, similar in scope and approach to Circomspect\footnote{whbjzzwjxq/ZKAP (\url{https://github.com/whbjzzwjxq/ZKAP})} --- though differences between ZKAP and Circomspect exist and are detailed in \cite{wen_practical_2024}. In detail, the design of ZKAP is based on a manual study of existing vulnerabilities in Circom; ZKAP is capable of abstracting Circom circuits as circuit dependence graphs to capture semantic vulnerability patterns. Consequently, ZKAP can identify vulnerabilities through semantic patterns matching, expressed in a Datalog-like language. As a result, ZKAP comprises 9 static analyzers, targeting underconstrained bugs (i.e., unconstrained signal, assignment misuse, unconstrained circuit output, unconstrained sub-circuit input, unconstrained sub-circuit output), semantic discrepancies in constraints computation (i.e., dataflow-constraint discrepancy, type mismatch, non-deterministic dataflow), and input validation errors (i.e., division-by-zero). We highlight that ZKAP and Circomspect target overlapping set of vulnerabilities, and that the same vulnerability may be named differently in ZKAP and Circomspect (e.g., division-by-zero in ZKAP practically corresponds to unconstrained division in Circomspect). Similarly to Circomspect, ZKAP cannot claim neither soundness nor completeness guarantees, although benchmarks show that ZKAP achieves a lower rate of false negatives and false positives than Circomspect \cite{wen_practical_2024}. ZKAP can be executed via command line in a terminal and currently supports only Circom files as target. Given a circuit, ZKAP outputs ...???. ZKAP comes with a docker image but has a rather essential documentation and its development appears to have stalled."
ZK Vanguard,"ZK-SNARKs, ZK-STARKs",LLZK,(1)=(2)=(3)-(4)=(5)=(6),static analysis,"secret data leakage, under-constrained circuits, input validation errors",,Yes,🤷,closed-source,"https://veridise.com/security/tools/zk-static-analyzer/
https://docs.veridise.com/zkvanguard/
https://www.youtube.com/watch?v=oYpXhBQi-9k",Veridise,https://veridise.com/,0,Unspecified,None,"ZK Vanguard is a static analyzer for detecting common bugs in circuits for \glspl{zkp}.\footnote{ZK Vanguard Overview | AuditHub Documentation (\url{https://docs.veridise.com/zkvanguard/})} Currently, ZK Vanguard supports circuits written in the LLZK \gls{ir}, thereby supporting \gls{zkp} schemes such as Circom, halo2, Plonky3, and Zirgen. In detail, ZK Vanguard comprises 8 different static analyzers targeting underconstrained bugs (i.e., unconstrained signal, underconstrained output, out-of-range signals, compute-constrain difference, signal-dependent control flow), secret data leakage (i.e., private input leakage), input validation errors (i.e., division-by-zero), as well as concerns common to generic software (i.e., unused fields). Further information (e.g., on soundness and completeness guarantees) is missing since, as of December 2025, the documentation of ZK Vanguard is still in writing. Finally, similarly to Picus v2, also ZK Vanguard is closed-source and available only through AuditHub. ZK Vanguard has a legacy version targeting Circom circuits only, ZK Vanguard (Circom),\footnote{ZK Vanguard (Circom) Overview | AuditHub Documentation (\url{https://docs.veridise.com/zkvanguard-legacy})}. However, ZK Vanguard (Circom) --- which is closed-source and available only through AuditHub --- will be deprecated in the near future."
Circuzz,ZK-SNARKs,"Circom
Noir
gnark
corset",(1)=(2)=[3]=[4]=[5]=[6],fuzzing and metamorphic/mutation testing,compiler/DSL bugs,"randomized - output may vary, completeness (of analysis)",Yes,Dec 2025,Apache v2.0,"https://github.com/Rigorous-Software-Engineering/circuzz
https://doi.org/10.5281/zenodo.15472479",TU Wien,"https://github.com/Rigorous-Software-Engineering

https://mariachris.github.io/",2,"Bugs summary
Textual output","\cite{hochrainer_fuzzing_2025}

https://arxiv.org/abs/2411.02077
","Proposed in \cite{hochrainer_fuzzing_2025}, Circuzz aims at discovering bugs in \gls{zkp} pipelines through fuzzing techniques and, specifically, metamorphic testing.\footnote{Rigorous-Software-Engineering/circuzz: Fuzzing processing pipelines for zero-knowledge circuits (\url{https://github.com/Rigorous-Software-Engineering/circuzz})} In detail, Circuzz operates by generating a configurable number of random circuits in an intermediate language --- named CircIL --- designed to capture a common subset of the aforementioned \glspl{dsl}. Currently, Circuzz supports 4 \glspl{dsl}: Circom, Noir, gnark, and Corset. However, the generality of CircIL ideally allows to easily extend Circuzz to new \glspl{dsl} and \gls{zkp} pipelines. Once random circuits are generated, Circuzz applies metamorphic equivalence transformations to obtain semantically equivalent but syntactically different circuits. Finally, Circuzz runs the obtained circuits through the rest of the pipeline --- lowering (compilation), setup, prove, and verify. If two equivalent circuits yields different outputs or behaviours, a bug is found. Notably, Circuzz also introduced metamorphic transformations on the pipeline settings (e.g., compilers optimization levels). Differently from the majority of the other security analysis tools, Circuzz aims at discovering bugs in the components (e.g., compilers, witness generators, provers, verifiers) of a pipeline, and not on specific circuits. In particular, such bugs can expose two types of critical issues, namely soundness and completeness concerns. Being based on metamorphic testing, Circuzz is sound (i.e., does not produce false positives) but has no completeness guarantees. Also, the randomness intrinsic in its fuzzing approach makes Circuzz not deterministic (i.e., different runs may produce different outputs). Circuzz has a complete documentation and the last update to its codebase was on June 2025."
zkFuzz,ZK-SNARKs,"Circom
Noir",(1)=(2)=[3]=[4]=(5)=(6),fuzzing and metamorphic/mutation testing,"under-constrained circuits, over-constrained circuits (unsatisfiable), under- and overflows, incorrect logic/semantics","randomized - output may vary, completeness (of analysis)",Yes,Jun 2025,GPLv3,https://github.com/Koukyosyumei/zkFuzz,Columbia University,https://systems.cs.columbia.edu/,1,"Bugs summary
Textual output","\cite{takahashi_zkfuzz_2026}

https://doi.ieeecomputersociety.org/10.1109/SP63933.2026.00049","Proposed in \cite{takahashi_zkfuzz_2026}, zkFuzz is a Rust fuzzer for identifying security vulnerabilities in circuits for \gls{zkp} through mutation testing.\footnote{Koukyosyumei/zkFuzz: ZK Circuit Fuzzer (IEEE S&P'26) (\url{https://github.com/Koukyosyumei/zkFuzz})} zkFuzz leverages a novel theoretical formulation --- called \gls{tcct} --- for modeling various kinds of vulnerabilities in circuits, in particular both under- and over-constrained vulnerabilities. In detail, zkFuzz operates by mutating both inputs and witness generators to detect \gls{tcct} violations in circuits. Currently, zkFuzz supports Circom and Noir, albeit support for additional \glspl{dsl} is feasible and planned. Interestingly, zkFuzz has an extension, zkFuzz++, which leverages static analysis to identify potential vulnerabilities and guide the mutation testing. Essentially, zkFuzz++ considers code smells for Circom circuits such as, e.g., assignments without constraints and division-by-zero pattern. Being based on mutation testing, zkFuzz is sound (i.e., does not produce false positives) but has no completeness guarantees. Also, the randomness intrinsic in its fuzzing approach makes zkFuzz not deterministic (i.e., different runs may produce different outputs)."
Aztec_fuzzing,ZK-SNARKs,Noir,(1)=(2)=[3]=(4)=(5)=(6),fuzzing and metamorphic/mutation testing,,randomized - output may vary,Stale,Oct 2024,unspecified,https://github.com/FuzzingLabs/aztec_fuzzing,FuzzingLabs,https://fuzzinglabs.com/,2,Textual output,none,"Similar in scope and approach to Circuzz, Aztec_fuzzing is a set of Rust tools for fuzzing the compiler of the Noir \gls{dsl}.\footnote{FuzzingLabs/aztec_fuzzing (\url{https://github.com/FuzzingLabs/aztec_fuzzing})} In detail, Aztec_fuzzing aims to randomly generate Noir code and then check the Noir compiler's behavior to detect potential security vulnerabilities. Unfortunately, the documentation of Aztec_fuzzing is limited and no details are provided concerning targeted vulnerabilities or experimental results (e.g., bugs found)."
cLean,ZK-STARKs,cLean,[1]-[2]-[3]=(4)=(5)=(6),proof assistant,incorrect logic/semantics,"determinism - always same output, completeness (of analysis), soundness (of analysis)",Yes,Mar 2026,MIT,"(Introductory post) https://blog.zksecurity.xyz/posts/clean/
(AI-generated docs) https://deepwiki.com/Verified-zkEVM/clean
(guide on how to do proof for circuits) https://github.com/Verified-zkEVM/clean/blob/main/doc/proving-guide.md",zkSecurity,"https://www.zksecurity.xyz/
https://ethereum.foundation/",2,Lean4 interactions,none,"cLean is a domain-specific language (DSL) for circuits developed by zkSecurity targeting AIR. Technically, the cLean language is deeply embedded in the Lean4 proof assistant, and implements an infrastructure for mathematically proving the correctness of circuits with respect to a given formal specification written in Lean4 itself. The development also includes prototypical tooling for extracting a Plonky3\footnote{https://github.com/Plonky3/Plonky3} arithmetization of a circuit. Establishing that a cLean circuit adheres to a specification can be quite challenging because of the substantial manual effort required to prove properties in the Lean4 proof assistant, however once a property is established the circuit can be treated as a black box. Documentation is rather scarce but an AI-generated wiki\footnote{https://deepwiki.com/Verified-zkEVM/clean} exists, along with some instructions on how to prove theorems. Also, the project does not ship with a Docker image, but the Lean4 tooling makes it easy to setup and run cLean."
