Tool Name,IC not meet,Tool References,Brief Description
Circomscribe,IC3,"https://www.circomscribe.dev/
https://blog.zksecurity.xyz/posts/circomscribe/","Circomscribe is a tool showing what lines of a given Circom file produce what constraints (if any). Essentially, Circomscribe is a modified version of the Circom compiler running in WebAssembly (Wasm) and reporting information in a JSON format. Albeit interesting, Circomscribe is not actually a security analysis tool, but rather a simple code inspector."
CM,IC2,https://arxiv.org/abs/2507.19012,"CM is similar to CMDCGD and CMS, but with a specific focus on smart contracts"
zkwasm-fv,IC3,"https://github.com/CertiKProject/zkwasm-fv
https://www.certik.com/resources/blog/advanced-formal-verification-of-zero-knowledge-proof-blockchains
https://www.certik.com/resources/blog/advanced-formal-verification-of-zkp-verifying-a-zk-instruction
https://www.certik.com/resources/blog/advanced-formal-verification-of-zkp-a-tale-of-two-zk-bugs
https://www.certik.com/resources/blog/advanced-formal-verification-of-zkp-how-zk-memory-was-proven",zkwasm-fv focuses on verifying a zkVM
fAmulet,IC2,https://arxiv.org/abs/2410.12210,"fAmulet addresses finalization problems specific for layer 2 smart contracts (e.g., roll-up)"
OWBB,IC4,https://link.springer.com/article/10.1007/s10703-025-00476-3,OWBB is implemented in the CirC ZKP compiler
TSWCTS,IC1,https://eprint.iacr.org/2024/514,"TSWCTS has no implementation, but concerns a methodology for auditing"
Distiller,IC5,https://ieeexplore.ieee.org/abstract/document/10179393,Distiller is a verified compiler more focused on construction of correct frontends
Clap,IC5,https://arxiv.org/abs/2405.12115,Clap is a verified compiler
AGLST,IC5,https://dl.acm.org/doi/abs/10.1145/3497775.3503675,AGLST is a verified compiler using the (old) Lean3 proof assistant
Tabby,IC5,https://dl.acm.org/doi/abs/10.1145/3763110,"Tabby is a verfied compiler (actually, translation-validation based)"
SCLL,IC1,https://ieeexplore.ieee.org/document/10356587,SCLL is a foundational result for static-analysis
OrCa,IC2,https://veridise.com/security/tools/fuzzer/,OrCa targets smart contracts
PinocchioQ,IC5,https://ieeexplore.ieee.org/document/7536381,PinocchioQ is a verified compiler (C to R1CS)
POPBPDB,IC1,https://link.springer.com/chapter/10.1007/978-3-031-98668-0_17,POPBPDB is a foundational result for SMT
MTZK,IC3,"https://www.ndss-symposium.org/wp-content/uploads/2025-530-paper.pdf

https://sites.google.com/view/mtzk",MTZK is a compiler tester and does not directly focuses on ZKP circuits or programs
OPBFBD,IC1,https://link.springer.com/chapter/10.1007/978-3-031-65627-9_1,OPBFBD is a foundational result for SMT
